site,0:15,0:45,1:15,1:45,2:15,2:45,3:15,3:45,4:15,4:45,5:15,5:45,6:15,6:45,7:15,7:45,8:15,8:45,9:15,9:45,10:15,10:45,11:15,11:45,12:15,12:45,13:15,13:45,14:15,14:45,15:15,15:45,16:15,16:45,17:15,17:45,18:15,18:45,19:15,19:45,20:15,20:45,21:15,21:45,22:15,22:45,23:15,23:45
okar,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,-999.99,35.5,35.51,35.52,35.54,35.55,34.92,34.28,33.65,33.02,32.6,32.05,31.55,31.01,31.0,29.16,29.11,29.97,31.06,31.22,29.51,29.11,27.04,26.29,24.52,23.98,24.01,22.77,22.87
okdn,33.92,34.38,34.41,38.67,38.71,43.37,28.17,32.86,37.49,38.82,40.04,41.33,41.31,41.3,41.29,53.73,37.95,38.22,38.51,38.83,38.06,36.93,35.8,34.66,33.53,31.51,29.02,26.29,40.71,35.92,32.25,29.1,26.4,25.66,25.86,26.56,25.05,23.22,23.51,24.23,24.95,23.79,23.4,23.45,24.6,23.37,21.84,21.73
txbn,40.42,42.4,43.15,43.33,43.47,43.86,44.2,46.33,47.32,46.39,46.66,47.65,48.64,48.11,47.64,49.04,49.17,51.35,51.94,53.23,52.72,51.01,49.36,47.69,46.21,44.87,44.19,43.5,42.81,40.97,41.14,39.31,35.4,36.78,35.63,37.0,34.84,34.29,32.31,33.16,31.15,32.6,32.53,32.51,30.5,31.15,29.89,30.47
txbt,45.97,46.11,46.23,46.36,46.48,47.28,48.0,47.14,47.34,46.97,46.59,46.22,47.99,47.56,47.15,46.77,46.3,46.55,47.39,49.28,49.53,48.93,48.3,47.68,47.06,48.66,50.37,51.95,52.95,49.29,45.92,42.85,42.96,43.42,42.14,41.37,41.11,41.98,43.37,45.89,46.71,46.2,46.37,47.5,46.99,49.02,46.93,45.54
txbu,42.95,43.56,44.47,46.3,47.21,44.68,42.65,42.42,42.1,40.18,38.61,37.88,37.0,38.44,39.58,39.79,40.02,40.86,41.64,42.52,43.33,42.53,41.73,40.94,40.08,43.58,44.28,46.62,48.99,46.59,44.07,41.41,39.06,38.41,38.29,39.04,38.6,39.28,40.07,41.16,41.22,41.6,41.9,41.35,40.44,40.86,41.02,40.27
txbx,42.53,42.12,41.62,41.24,40.75,41.04,41.28,41.5,42.43,44.59,44.88,45.23,45.51,44.95,45.13,46.71,46.2,46.07,45.92,45.81,45.73,45.9,46.07,46.25,46.42,46.73,47.05,47.41,47.62,50.63,51.1,54.09,54.55,49.4,48.06,47.59,47.04,46.44,46.09,46.87,45.92,44.86,46.42,45.41,45.02,47.47,47.9,48.34
txc2,42.44,41.84,41.17,42.47,42.51,42.63,42.94,43.09,43.38,44.41,45.49,46.56,47.64,47.24,46.79,46.36,45.92,45.82,48.35,48.25,48.15,48.45,46.08,46.36,47.31,49.64,49.91,50.16,47.86,50.53,50.92,46.65,47.57,46.27,45.24,43.55,40.73,42.85,43.22,43.5,46.4,46.07,45.81,45.52,47.16,47.23,47.29,47.36
txc3,44.96,45.29,45.61,45.89,46.54,45.05,43.08,41.14,39.18,39.87,40.09,40.32,40.52,40.86,38.75,39.09,39.43,39.81,40.18,40.58,40.97,44.62,38.75,39.44,43.13,40.57,38.39,35.18,30.11,30.67,31.28,31.88,33.83,33.26,34.1,34.95,35.38,34.45,34.02,33.13,32.29,30.72,29.17,27.63,26.07,26.02,24.23,22.95
txck,45.23,45.16,45.09,45.02,44.95,44.88,44.8,44.73,44.65,43.78,42.9,42.03,41.15,41.75,42.34,42.94,43.53,43.77,44.02,44.26,44.51,44.39,44.28,44.17,44.06,44.77,45.47,46.18,46.88,48.59,50.29,52.0,53.7,52.01,50.32,48.63,46.93,44.85,42.76,40.68,38.59,40.09,41.59,43.09,44.59,44.53,44.47,44.41
txco,43.61,43.71,44.14,45.58,46.45,46.62,46.89,47.18,47.23,50.19,50.24,50.49,51.15,53.31,54.56,50.83,48.56,50.1,51.15,52.58,53.73,54.85,44.62,45.71,46.58,44.89,43.64,43.86,43.86,41.77,39.68,37.58,35.52,36.15,36.72,37.41,37.99,37.54,36.97,36.67,37.6,35.43,33.4,32.17,30.82,30.46,29.86,28.53
